							proto-indo-european	old-english	latin	"russian	"		ancient-greek	ancient-greek	sanksrit				
							translation	translation	translation	translation	transcription	translation	transcription	translated	transliterated			
well	3	singular	masculine	accusative	strong	animate	kóylom	wel	bene	порядке	poryadke	ὑγῐῆ 	ygií	भविक	bhavika			
good	3	singular	masculine	accusative	strong	inanimate	h₁wésum	gōdne	bonum	до́брый	dóbryj	ἐσθλόν	esthlón	साधुम्	sādhúm			
bad	3	singular	masculine	accusative	strong	inanimate	dusom	yfelne	"malum	"	плохо́й	ploxój	κᾰκός	kakós	अघम्	aghám			
big	3	singular	masculine	accusative	strong	animate	méǵh₂m̥	miċelne	magnum	большо́го	bolʹšóvo	μέγᾰν	mégan	महम्	mahám			
small	3	singular	masculine	accusative	strong	animate	(s)melom	smælne	parvum	ма́ленького	málenʹkovo	μῑκρόν	mīkrón	अर्भम्	arbham			
long	3	singular	masculine	accusative	strong	animate	dl̥h₁gʰóm	longne	longum	дли́нного	dlínnovo	μᾰκρόν	makrón	दीर्घम्	dīrghám			
short	3	singular	masculine	accusative	strong	animate	mr̥ǵʰúm	sċortne	brevem	коро́ткого	korótkovo	βρᾰχῠ́ν	brakhún	ह्रस्वम्	hrasvám			
attention	3	singular	masculine	accusative	strong	animate	méntim	begíemenne	attentiōnem	внима́ние	vnimánije	φροντῐ́ς 	phrontís	अवधान	avadhāna	"# PIE is closer to ""thoughts"""		
size	3	singular	masculine	accusative	strong	animate	méh₁tim	miċelnesse	magnitūdinem	разме́р	razmér	μέγεθος	mégethos	मानम्	mā́nam	"# PIE is closer to ""measurement"""		
sound	3	singular	masculine	accusative	strong	animate	swónh₂om	swēġ	sonum	зву́к	zvúk	φθόγγον	phthóngon	स्वरम्	sváram			
thought	3	singular	masculine	accusative	strong	animate	tóngom	þōht	ideam	иде́ю	idéju	ἰδέᾱν	idéān	धियम्	dhíyam			
his	3	singular	masculine	possessive	strong	animate	ésyo             	his	eius	его́	jevó	τοῦ	toû	तयोः	tayoḥ			
																		
																		
																		
																		
																		
																		
																		
